"year","month","month_name","day","date","day_of_week","day_of_week_num","carrier","airline_name","flight","tailnum","origin","dest","sched_dep_time","dep_time","dep_delay","dep_delay_flag","sched_arr_time","arr_time","arr_delay","arr_delay_flag","on_time","delay_category","air_time","distance","time_period"
2022,3,"Mar",22,2022-03-22,"Tue",3,"AS","Alaska","AS4842","N20812","DCA","CMH",942,951,9,0,1082,1088,6,0,1,"Slightly Late",100,799,"Morning"
2022,1,"Jan",2,2022-01-02,"Sun",1,"AS","Alaska","AS4318","N98289","DCA","SEA",1934,1892,-2,0,2446,2448,2,0,1,"Slightly Late",312,2497,"Evening"
2022,6,"Jun",5,2022-06-05,"Sun",1,"WN","Southwest","WN1524","N19319","DCA","MCO",651,610,-1,0,787,740,-7,0,1,"Early/On-Time",96,766,"Early Morning"
2020,9,"Sep",25,2020-09-25,"Fri",6,"UA","United","UA7198","N32680","DCA","ROC",1529,1534,5,0,1568,1576,8,0,1,"Slightly Late",39,315,"Afternoon"
2024,9,"Sep",27,2024-09-27,"Fri",6,"AA","American","AA2108","N91013","DCA","DFW",1712,1669,-3,0,1939,1896,-3,0,1,"Early/On-Time",147,1177,"Evening"
2022,2,"Feb",25,2022-02-25,"Fri",6,"B6","JetBlue","B64226","N41251","DCA","ORD",1831,1787,-4,0,2068,2024,-4,0,1,"Early/On-Time",157,1254,"Evening"
2022,8,"Aug",19,2022-08-19,"Fri",6,"UA","United","UA7072","N50680","DCA","TPA",700,659,-1,0,824,834,10,0,1,"Slightly Late",84,671,"Early Morning"
2024,9,"Sep",2,2024-09-02,"Mon",2,"AA","American","AA5341","N45007","DCA","BUF",909,911,2,0,1030,1031,1,0,1,"Slightly Late",81,650,"Morning"
2019,12,"Dec",22,2019-12-22,"Sun",1,"UA","United","UA9875","N25546","DCA","CMH",632,588,-4,0,670,625,-5,0,1,"Early/On-Time",38,304,"Early Morning"
2023,6,"Jun",13,2023-06-13,"Tue",3,"AA","American","AA5140","N21103","DCA","GSP",952,982,30,1,1004,1036,32,1,0,"Delayed",52,418,"Morning"
2019,6,"Jun",14,2019-06-14,"Fri",6,"UA","United","UA3122","N81505","DCA","FLL",1908,1861,-7,0,2046,1996,-10,0,1,"Early/On-Time",98,780,"Evening"
2024,3,"Mar",17,2024-03-17,"Sun",1,"F9","Frontier","F92604","N82849","DCA","PBI",1744,1757,13,0,1848,1858,10,0,1,"Slightly Late",64,516,"Evening"
2021,6,"Jun",17,2021-06-17,"Thu",5,"DL","Delta","DL2883","N46854","DCA","ATL",1029,988,-1,0,1173,1129,-4,0,1,"Early/On-Time",104,830,"Morning"
2020,8,"Aug",23,2020-08-23,"Sun",1,"UA","United","UA5152","N95521","DCA","STL",2116,2122,6,0,2159,2171,12,0,1,"Slightly Late",43,342,"Night"
2022,7,"Jul",30,2022-07-30,"Sat",7,"AS","Alaska","AS2025","N97216","DCA","MSP",720,723,3,0,876,833,-3,0,1,"Early/On-Time",116,925,"Early Morning"
2021,7,"Jul",20,2021-07-20,"Tue",3,"AA","American","AA4876","N60034","DCA","SMF",1008,965,-3,0,1056,1013,-3,0,1,"Early/On-Time",48,382,"Morning"
2021,9,"Sep",23,2021-09-23,"Thu",5,"NK","Spirit","NK4592","N36822","DCA","DTW",919,870,-9,0,1034,988,-6,0,1,"Early/On-Time",75,603,"Morning"
2024,7,"Jul",7,2024-07-07,"Sun",1,"DL","Delta","DL5126","N30825","DCA","MEM",720,731,11,0,767,770,3,0,1,"Slightly Late",47,374,"Early Morning"
2020,9,"Sep",12,2020-09-12,"Sat",7,"AA","American","AA131","N70366","DCA","DTW",1509,1510,1,0,1647,1606,-1,0,1,"Early/On-Time",98,788,"Afternoon"
2023,3,"Mar",21,2023-03-21,"Tue",3,"AA","American","AA7284","N39623","DCA","PHX",2125,2083,-2,0,2432,2432,0,0,1,"Early/On-Time",187,1498,"Night"
2021,5,"May",9,2021-05-09,"Sun",1,"AS","Alaska","AS5954","N56230","DCA","CLT",1644,1600,-4,0,1779,1732,-7,0,1,"Early/On-Time",95,758,"Afternoon"
2019,9,"Sep",16,2019-09-16,"Mon",2,"AA","American","AA3066","N89852","DCA","RNO",2153,2154,1,0,2284,2236,-8,0,1,"Early/On-Time",91,725,"Night"
2022,8,"Aug",30,2022-08-30,"Tue",3,"AA","American","AA6498","N28957","DCA","RDU",1726,1684,-2,0,1772,1724,-8,0,1,"Early/On-Time",46,369,"Evening"
2020,4,"Apr",25,2020-04-25,"Sat",7,"DL","Delta","DL4767","N97970","DCA","CLT",1046,1046,0,0,1192,1192,0,0,1,"Early/On-Time",106,852,"Morning"
2022,8,"Aug",14,2022-08-14,"Sun",1,"UA","United","UA323","N75364","DCA","SEA",1353,1359,6,0,1807,1807,0,0,1,"Early/On-Time",294,2354,"Afternoon"
2024,9,"Sep",2,2024-09-02,"Mon",2,"WN","Southwest","WN4464","N83232","DCA","SYR",1344,1347,3,0,1466,1466,0,0,1,"Early/On-Time",82,655,"Afternoon"
2019,10,"Oct",26,2019-10-26,"Sat",7,"AS","Alaska","AS1372","N94531","DCA","CLE",2053,2008,-5,0,2081,2083,2,0,1,"Slightly Late",28,227,"Evening"
2022,8,"Aug",8,2022-08-08,"Mon",2,"B6","JetBlue","B63520","N27651","DCA","CLE",1935,1935,0,0,2061,2061,0,0,1,"Early/On-Time",86,686,"Evening"
2021,4,"Apr",15,2021-04-15,"Thu",5,"WN","Southwest","WN4931","N73089","DCA","AUS",1625,1626,1,0,1746,1703,-3,0,1,"Early/On-Time",81,651,"Afternoon"
2021,9,"Sep",8,2021-09-08,"Wed",4,"UA","United","UA955","N55105","DCA","MCI",2233,2190,-3,0,2279,2283,4,0,1,"Slightly Late",46,371,"Night"
2022,10,"Oct",3,2022-10-03,"Mon",2,"DL","Delta","DL6855","N72584","DCA","GSP",1122,1146,24,1,1252,1273,21,1,0,"Delayed",90,724,"Morning"
2023,3,"Mar",20,2023-03-20,"Mon",2,"F9","Frontier","F93860","N97509","DCA","DSM",1648,1694,46,1,1696,1741,45,1,0,"Delayed",48,381,"Afternoon"
2020,12,"Dec",27,2020-12-27,"Sun",1,"UA","United","UA5970","N37447","DCA","GEG",1604,1561,-3,0,1713,1715,2,0,1,"Slightly Late",69,552,"Afternoon"
2021,8,"Aug",2,2021-08-02,"Mon",2,"UA","United","UA3623","N24808","DCA","BOI",1019,977,-2,0,1045,1001,-4,0,1,"Early/On-Time",26,207,"Morning"
